id,prompt,dsl_present,svg_nonblank
fa1d8fa7-080f-4269-a9cf-a17562c9a0ca,firewood stack cut logs wood with leaf illustration.,False,False
8fe82f3af89e487b31236ca829c3f071,"The image contains black geometric shapes against a white background, forming an abstract representation of a person sitting on a chair.",False,False
9e831fb6831745f4d15156b7a95e4f92,An orange hexagon with the number '13' inside it.,False,False
625181a2-600d-4db5-83c6-1a34676eb0dc,The image is a black and white representation of an eye with visible eyelashes and an iris.,False,False
8ba1bd7c-211c-43b0-a4aa-0e6e33c92486,A pair of men's underwear with a contour designed to cradle the natural shape of the wearer's lower body.,False,False
4e56e508270eb0d02291927638d3c685,"A single, dark gray outline of an abstract shape resembling a leaf or flame against a white background.",False,False
cc1df4dd3f0cc361daa667ee0f05eaf7,A cartoon illustration of a split pea pod with two peas inside.,False,False
8390a1ddd68fc7de495d11dffab32031,A blue circular icon featuring a white cloud with an upward arrow symbolizing cloud upload.,False,False
48fba8b033c732c00f1a288dfc34aedc,"The image shows a black line drawing of a boot icon with distinct elements like the shaft, laces, and sole, against a white background.",False,False
5f4a048069086cff1d5f8d424af1b8ca,A simple line drawing of a human figure with a circular head and body.,False,False
363e052b0457c60892eab6c887dd5b27,The image contains multiple gray arrows and zigzag lines arranged in a specific pattern against a white background.,False,False
d942c8be4045344396e6a113f7c58a3f,A simple black-and-white illustration of a gift box with a ribbon bow.,False,False
5486017c6c4d153449d07c7c4f7afbd4,"The image features a circular design with a light purple background, containing a central purple icon resembling a simplified couch or sofa with two leg-like supports at the bottom and two circular eyes near the top.",False,False
7e63b44725fd31b7ee98d8ba88fe29cd,A simple line drawing of a pencil with an eraser at the top.,False,False
5847d7d98926031f8b9ca1eb61fa7163,"The image consists of a single solid color: black, occupying the entire visible space.",False,False
c97c8f66ce177e81c529de16b5bd4118,A simple line drawing of an envelope with a folded flap.,False,False
e41ccb9c836340147df2ccb127e8dde6,"A black gift box icon with a white vertical stripe down its center and a white ribbon bow on top, set against a white background.",False,False
1bb91e93-817e-484d-859c-428ec68c30f9,"A dropper bottle icon with a simple, black and white design.",False,False
643a84fa96883ea934fdf60cd6b58513,"A black shield-shaped icon with a black checkmark inside, set against a transparent background.",False,False
d14ffebbc58e451c3d713e66e59414e0,"The image features two black human-like silhouettes standing side by side against a stark white background. Each silhouette has a rectangular head and a triangular torso, separated by a thin horizontal line representing shoulders. The left silhouette is slightly shorter, and both are positioned symmetrically with a central gap between them.",False,False
42ec3240e21ab822adca80d09707c527,"The image features a grayscale steering wheel icon with curved spokes radiating from the center, enclosed within a circular outline.",False,False
2dc79da3-62ee-49ab-815d-ebcd832cfd2d,A depersonalized face mask often representing the idea ofuyen to 8 anonymity.,False,False
25ac054b53cc1e9443ba87fbb4f3f25d,"A black triangular shape with three straight edges is centrally positioned against a white background. At each of its three corners, there are black horizontal lines extending outward to the left, right, and bottom of the triangle, creating a symmetrical design.",False,False
4a77266da26727f9ae4858d0a368d168,"The image features a single black T-shaped symbol centered against a plain white background, with a horizontal line intersecting a vertical line at its midpoint.",False,False
e3eb16f93299028540e0ca713c279086,The image contains a small red square bracket at the top right corner of an otherwise white background.,False,False
8d4aea82-e57e-4019-aff5-c8383c34c2a3,A black outline drawing of a fish.,False,False
42774b275712fad4243e86e2805aadc6,"A black icon featuring a stylized road tunnel design with concentric arches and a dashed line representing the road, set against a white background.",False,False
