id,prompt
6eede943219547c22ac56085027d33cc,"The image shows five horizontal lines of varying thicknesses and lengths, arranged vertically on a white background."
ea045c7a247166f061ce504d9b7ccaab,A stylized icon depicting a curved arrow within a square shape.
600464e4d92c75338462271a09b3f176,"The image shows a single dark gray triangle pointing upwards, centered against a plain white background."
8cbefcd53fd5dfa2cbe1b374356ed709,"The image features a simple, blue outlined camera icon centered within a white circular background."
bef2864d9a862b7436c73435346f1c64,The image consists of three black rectangles with varying heights arranged horizontally on a white background.
7f11068772653f283977d9c2f5612a02,"An illustration of a blue checkmark centered on a light blue document icon with a dark blue border, set against a white background."
8821c406-676c-4fdf-b18f-fe01c00d793f,"The image is an icon of a file folder with a plus symbol, indicating ""add new folder"" or ""add files."""
1d800968d7d3aa76b9e097cee61fbe60,A simple circular icon with a play button symbol inside it.
75ea7d1de57013d3d210046f6cec14d5,"The image features a single black checkmark inside a thick black circle, all set against a white background. The checkmark is centrally positioned within the circle, which is also centrally aligned in the image."
9bda86e2078baf4d4fa15be8de3bcdce,"A black outline of a smartphone icon with a white screen displaying bold black text 'APP' in the center, positioned against a white background."
7116d593ba10694dbf864f192ff2f07b,"A dark gray square frame contains a black musical note with an orange oval inside it, positioned centrally within the frame."
fb7d61688fa296dea40d7e579db49428,"The image features a light green rounded square icon with a central plus sign, two horizontal lines, and a curved line forming the shape of a document or file symbol."
1d716bd624982a0e450cbdd9abbc21f6,The image contains two intersecting dark gray lines forming a cross shape against a white background.
c323393eac394f19afec9f714b63976d,"The image shows a black RSS feed icon against a white background, consisting of three curved lines radiating outward from a central point."
8aeed0decb8802edd77fde5e026eb915,The image features a single black circular outline centered on a plain white background. The circle is uniformly thick and evenly spaced from the edges of the image.
81ef4bd0b6d6d5e1980b8e39646d5097,"The image features a dark blue telephone receiver icon inside a circular outline, set against a white background."
46985c942079349b8c4d5fcc20999368,"The image features a black rectangular shape with a smaller white rectangular area near the top and a concentric circle design in the center, all set against a white background."
e3e0fff5ead535daf599d302dd645b45,"The image features a single black geometric shape resembling an arrow or pointer, set against a completely white background. The arrow has a triangular form with distinct sections: a larger triangle forming the main body and two smaller triangles at the bottom, creating a stylized appearance. The edges of the shape are bold and sharp, emphasizing the clean lines and contrast between the black and white elements."
912205c69e8d840c623389740a95c61c,"The image features a solid black rectangular shape positioned centrally at the top, with a horizontal black line below it, set against a plain white background."
thesantatitan_deepseek-svg-dataset_0004683,Generate svg code for an image that looks like: a bus icon. Don't use markdown just give svg code
thesantatitan_deepseek-svg-dataset_0003059,Generate svg code for an image that looks like: a black background with a white and red flower. Don't use markdown just give svg code
22c9af1ee5c39d0f2c1cfced7b303b31,"A white 'X' shape on a black background, consisting of two thick lines intersecting at the center."
3307888a6e369e7b8fe8f97b1d5ca059,"The image contains a blue speech bubble icon with a question mark inside it, set against a white background."
thesantatitan_deepseek-svg-dataset_0003803,Generate svg code for an image that looks like: the logo for the airbn. Don't use markdown just give svg code
thesantatitan_deepseek-svg-dataset_0001862,Generate svg code for an image that looks like: a black background with a white and red flower. Don't use markdown just give svg code
d3662fd819d68f1d3ea300f7ffbafaf1,"A black circular shape with a white 'X' symbol centered within it, set against a completely white background."
36395e670d119b48df4895776d5b74c2,"The image features a black rectangular icon with rounded corners containing a stylized profile of a person's head and shoulders, accompanied by a prominent black circle with a plus sign inside it to the right of the rectangle. The entire design is set against a plain white background."
0feb0f573c27675b0d3a4d9a314f8127,"A black shield-shaped icon with a white checkmark in the center, set against a white background."
580d7d5cdf416645f13d6d9e3aa2590b,"The image features a single black square with a white checkmark placed centrally within it. The black square occupies most of the canvas, while the white checkmark is positioned slightly off-center towards the bottom-right quadrant against the dark background."
c8d9f86a253c3316308f642ebf1df890,A simple black square outline on a white background.
6533809323284ce30427cde779fff269,A teal-colored beach umbrella is depicted standing upright with a reclining chair positioned beneath it on the ground.
8f92d1229080b7ce7b1fcec21cb213db,"A black circle with a smaller black rectangular shape inside, resembling a screen or monitor icon."
1bfff390-28ce-4d73-85d4-0c58113fdd88,A blue line drawing of a bookmark in a rounded square.
959e0c49460d7355330faa5fc6966fa6,A minimalist abstract design featuring a rounded shape with a smaller circle inside.
e9ffd3297260257322b15ba6510e836e,"A single black triangle is centrally positioned against a clean white background, with its base oriented horizontally and the apex pointing downward."
4a968506f2c7f3da659a1d8cdc568ddd,"The image shows a black folder icon with a white background, featuring a closed folder design with a tab at the top."
89aef77e14a596edcf6a61dc687e18f2,A black background with a white rounded square containing two black lowercase 'c' characters.
69c33b61d96656ff61ed82d455d9142b,The image consists of a black power button symbol against a white background.
3c0fc1a44e3b6a8aaae3f7daacfccc90,A simple black arrow pointing downward with a curved base.
41326c8540b89371b2ac41cd1ce06b32,"The image consists of three horizontal rectangular sections: two blue sections at the top and bottom, and one light blue section in the middle, separated by black lines. Each section contains a single black horizontal line centered within it."
thesantatitan_deepseek-svg-dataset_0003427,Generate svg code for an image that looks like: a black background with a white and red flower. Don't use markdown just give svg code
2083ff4e29756f813951e64909f79e87,A single black outline of a teardrop shape centered on a white background.
a3f7d55f98b9f4650982837716e45558,"The image consists of five horizontal gray rectangles stacked vertically, with a gray triangle pointing left aligned to the right side of the bottom rectangle."
8edb2eb8e91319b38e0861e57637f9be,The image features a black square shape with a white diagonal line crossing from the top-right to the bottom-left corner.
868eb1cfe38c855f29c42910408a503f,"The image features a dark navy blue circular design with a teardrop shape at the center, flanked by two small dots above it, set against a white background."
11a27a3b6cf29b26cfb4e9705a0f2b91,"The image shows three horizontal black lines, each containing one filled black circle positioned at different points along the lines."
e1f2704ae308f86cfd5a65dce745e37a,"A simple black icon with a rounded rectangular border containing the number '9' and a horizontal line at the bottom, set against a white background."
b3e6d797f017ecf5c69db1bc13ea6505,A black arrow pointing to the left on a white background.
f8442c8dd7a2c3d1ae8c7c1f2ea9a253,"The image shows a simple, yellow house icon with a brown door centered at the bottom."
thesantatitan_deepseek-svg-dataset_0002981,Generate svg code for an image that looks like: a mask icon. Don't use markdown just give svg code
501d22e95eb0f1a021b4cbd657a09f60,A single gray checkmark icon centered on a white background.
